"ID","MWS","Group","Database","Layer","Name","Provider","Level","Geocode","Type","Discription","Download","geojson","Year","Title","Abstract","Data.Type","Keywords","Geographic.Extent","Scale","Temporal.Coverage","Publication.Date","Version","Data.Provider","Contact.Name","Email.Address","Phone.Number","Address","Data.Source","Accuracy","Limitations","Resolution","Coordinate.System","Datum","Vertical.Datum","Access.Constraints","Use.Constraints","Data.Format","File.Size","Download.Link","Process.Steps","Metadata.Creator","Metadata.Date","Metadata.Standard","Related.Publications","Supplementary.Info"
1,"MWS-110-3","Base","Administration","District Boundary",NA,"SD","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/Districts/EXD_01_ADM_DIS_KANDY_poly_v1.geojson",2019,"District boundary dataset","Dataset represents the district boundaries demarcated in 2019 within the Upper Mahaweli Watershed ","Vector","Districts, Sri Lanka, Administrative","North: 568655.811800 m, South: 449324.841700 m , East: 554960.629000 m, West: 461077.725100 m","1:10000",2019,2019,"Version 1.0","Survey Department of Sri Lanka",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
2,"MWS-110-3","Base","Administration","DSD Boundary",NA,"SD","Raw","Yes","Vector",NA,"https://docs.google.com/spreadsheets/d/1j_3yvrEsH5C0DnXzB-6eZzT0OWNMf-7Q/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_DSD_DELTOTA.geojson",2019,"Divisional Secretariat Division Boundary","Dataset represents the divisional secretariat division boundaries demarcated in 2019 within the Upper Mahaweli Watershed ","Vector","Divisional Secretariat Divisions, Sri Lanka, Administrative","North: 568655.811800 m, South: 449324.841700 m , East: 554960.629000 m, West: 461077.725100 m","1:10000",2019,2019,"Version 1.0","Survey Department of Sri Lanka",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
3,"MWS-110-3","Base","Administration","GN Boundary",NA,"SD","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/GND/MWS_110_3.geojson",2019,"Grama Niladhari Division boundary","Dataset represents the grama niladhari division boundaries demarcated in 2019 within the Upper Mahaweli Watershed ","Vector","Grama Niladhari Divisions, Sri Lanka, Administrative","North: 568655.811800 m, South: 449324.841700 m , East: 554960.629000 m, West: 461077.725100 m","1:10000",2019,2019,"Version 1.0","Survey Department of Sri Lanka",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
4,"MWS-110-3","Base","Land cover","Land cover",NA,"LUPPD","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/04_LND/LND_LULC/LND_LULC_MWS_110_3.geojson",2019,"Land Use/Land Cover","Dataset represents Land Use/Land Cover distribution within the Upper Mahaweli Watershed","Vector","Land Use, Land Cover, Sri Lanka","North: 553468.150549 m, South: 472883.682751 m , East: 528427.871550 m, West: 464045.389623 m","1:10000",2019,2019,"Version 1.0","Land Use and Policy Planning Department",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
5,"MWS-110-3","Base","Reservation","Environmental protection area",NA,"FD","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_TF/RSV_FRC_TF_MWS_110_3.geojson",2019,"Environmental Protection Areas","Dataset represents Environmental Protection areas within the Upper Mahaweli Watershed as declared by Central Environmental Authority","Vector","Environmental Protection Area","North: 532196.997500 m, South: 520847.879000 m, East: 488103.787500 m, West: 480416.898700 m","1:10000",2019,2019,"Version 1.0","Forest Department",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
6,"MWS-110-3","Base","Reservation","Reserved forest",NA,"FD","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_RF/RSV_FRC_RF_UMW.geojson",2019,"Reserved forests","Dataset represents Reserved forests distribution within the Upper Mahaweli Watershed","Vector","Reserved forests, Sri Lanka","North: 563290.221407 m, South: 453364.980488 m, East: 554960.631993 m, West: 462157.658673 m","1:10000",2019,2019,"Version 1.0","Forest Department",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
7,"MWS-110-3","Base","Reservation","Conservation forest",NA,"FD","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_CNF/RSV_FRC_CNF_UMW.geojson",2019,"Conservation Forest","Dataset represents conservation forest distribution within the Upper Mahaweli Watershed","Vector","Conservation forest","North: 564835.137017 m, South: 443931.708032 m, East: 538880.053888 m, West: 463912.200182 m","1:10000",2019,2019,"Version 1.0","Forest Department",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
8,"MWS-110-3","Base","Reservation","Wild life boundary",NA,"DWC","Raw","Yes","Vector",NA,"","https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_DWC/RSV_DWC_UMW.geojson",2019,"Wildlife boundary","Dataset represents wildlife distribution within the Upper Mahaweli Watershed","Vector","Wildlife","","1:10000",2019,2019,"Version 1.0","Department of Wildlife Conservation",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
9,"MWS-110-3","Detail","Topography","Spot height",NA,"MASL","Raw","Yes","Vector",NA,"google drive","",2010,"","","Vector","Spot heights","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
10,"MWS-110-3","Detail","Topography","Contour",NA,"MASL","Raw","Yes","Vector",NA,"google drive","",2010,"","","","Contours, Topography","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"SLD99 Sri Lanka Grid 1999","Sri Lanka Datum 1999",NA,NA,NA,"Shapefile",NA,NA,NA,NA,NA,NA,NA,NA
