No. ,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,499,Bambaragama,Bank collapsing due to heavy rain,7.139369,80.734907,Needs NBRO concern,Establishing a retaining wall (5 m x 3 m)
2,499E,Bambaragama East,No special issues reported,,,,
3,499F,Bambaragama West,No special issues reported,,,,
4,500,Bowala,Land sliding/soil sloughing,7.150467,80.734474,Needs NBRO concern,Establishing a retaining wall (40 m x 1.2 m)
5,499C,Daraoya,No special issues reported,,,,
6,503,Gannewa Udagama,No special issues reported,,,,
7,499A,Handawalapitiya,1. Bank collapsing,7.127388,80.736036,Needs NBRO concern,Establishing a retaining wall (15 m x 2.4 m)
8,499A,Handawalapitiya,2. Bank collapsing,7.127448,80.736334,Needs NBRO concern,Establishing a retaining wall (20 m x 3.6 m)
9,501G,Hope,No special issues reported,,,,
10,500A,Kithulpe,1. Landsliding - Madamure village,7.153257,80.741161,Needs NBRO concern,"Establishing retaining walls; lock & spill drains need to be constructed and crops need to be cultivated (Crops- Coffee, Cocoa, Pepper)."
11,500A,Kithulpe,2. Landsliding - Near the Kithulpe temple,7.156924,80.740558,NBRO has issued Red Notice,"Transfering people to other suitable lands, Remove heavy weight structures, trees etc.
Facilitate drainage facility
Adopting proper soil and water conservation methods"
12,503A,Malanwatta,No special issues reported,,,,
13,500B,Medagama,No special issues reported,,,,
14,500C,Warapitiya,1. Flooding - Road near the Palle Bowala Primary School,7.155533,80.736339,,Establishing a retaining wall (100 m x 0.6 m)
15,500C,Warapitiya,2. Soil sloughing - Playground of the Palle Bowala Primary School,7.155535,80.736395,Needs NBRO concern,Establishing a retaining wall (100 m x 0.6 m)
16,500C,Warapitiya,3. Flooding - Palle Bowala Secondary School,7.155297,80.735902,,Establishing a leader drain (10 m x 1 m x 1 m)
17,500C,Warapitiya,4. Collapsing retaining wall - Palle Bowala Secondary School,7.155666,80.736301,Needs NBRO concern,Establishing a retaining wall (75 m x 0.6 m)
18,500C,Warapitiya,5. Bank collapsing - Makumbura Waththa,7.156644,80.736338,Needs NBRO concern,Establishing a retaining wall (100 m x 0.6 m)
19,499D,Wetesthenna,No special issues reported,,,,
