"Table 5.4: Reported landslides/Other hazards in MWS-011 belong to Hanguranketha DS Division","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","498B","Agappala","Rolling rocks and blocking streams - Miderapitiya Ela","7.142055","80.745558",,"Remove the rocks and clear the stream to distribute water properly."
"2","501 A","Bulugahapitiya","1. Bank collapsing","7.125278","80.774236",,"Establishing a retaining wall (20 m x 1.2 m)"
,,,"2. Stream overflowing","7.125824","80.774102",,"Establishing a retaining wall (400 m x 1.2 m)"
"3","502B","Diggalpotta","No special issues reported",,,,
"4","502","Ekiriya","No special issues reported",,,,
"5","501E","Enasal Arawa","1. Land erosion due to the stream","7.122053","80.767456","Needs NBRO concern","Constructing a rubble masonry wall (8 x 0.6 x 3m)"
,,,"2. Soil erosion of the lands","7.121925","80.767258","Needs NBRO concern","Constructing rubble masonry walls and planting Cardamom in those lands."
"6","502A","Hapugasdeniya","No special issues reported",,,,
"7","499B","Karamidula","No special issues reported",,,,
"8","501D","Kawatayamana","No special issues reported",,,,
"9","500D","Kosgaha Debala","No special issues reported",,,,
"10","498F","Labuhena","No special issues reported",,,,
"11","501C","Madumana2","No special issues reported",,,,
"12","498C","Makempe","No special issues reported",,,,
"13","498A","Poramadulla","1. Land erosion/soil sloughing","7.140653","80.772772","Needs NBRO concern","Constructing a rubble masonry wall (30 m x 0.45 m x 3.6 m)"
,,,"2. Land erosion/soil sloughing","7.136997","80.771311",,"Constructing a rubble masonry wall (1000 m x 0.15 m x 1.2 m)"
,,,"3. Land erosion/soil sloughing","7.136917","80.77188",,"Constructing a rubble masonry wall (9 m x 0.3 m x 1.8 m)"
"14","498E","Puranagama","No special issues reported",,,,
"15","497","Unanthenna","1. Road and the lands sliding toward the Kosgaha Kadura","7.168845","80.745141",,"Constructing a rubble masonry wall (20 m x 0.75 m x 3.6 m)"
,,,"2. Flooding of paddy fields due to Koskadura overflow - Koskadura","7.169383","80.744697",,"Cleaning the torrent by desilting & clearing the boundaries and constructing a side wall/retaining wall (10 m x 0.6 m x 1.2 m)"
,,,"3. Road and the lands sliding toward the houses below - Hewan Arawa temple road","7.167961","80.743478",,"Constructing a rubble masonry wall (10 m x 0.6 m x 4.5 m) and practicing soil conservation methods in lands above."
"16","498","Wegama","No special issues reported",,,,
